id|video_path|ground_true|label_prediction|description
0|/home/mchiesa/agenticvad/datasets/xd_violence/videos/A.Beautiful.Mind.2001__#00-25-20_00-29-20_label_A.mp4|0|0|
1|/home/mchiesa/agenticvad/datasets/xd_violence/videos/A.Beautiful.Mind.2001__#00-40-52_00-42-01_label_A.mp4|0|0|
2|/home/mchiesa/agenticvad/datasets/xd_violence/videos/A.Beautiful.Mind.2001__#00-50-26_00-55-16_label_A.mp4|0|1|The video shows a man in a dark environment, illuminated by a blue light, appearing to be focused on something off-camera. His expressions change slightly across the frames, indicating concentration or concern. The final frames show a close-up of a finger pressing a number key on a keypad, suggesting he might be entering information. There is no clear evidence of physical violence, explosions, or fires, but the man's intense focus and the keypad interaction could imply a potential security threat, such as accessing restricted information.
3|/home/mchiesa/agenticvad/datasets/xd_violence/videos/A.Beautiful.Mind.2001__#01-14-30_01-16-59_label_A.mp4|0|0|
4|/home/mchiesa/agenticvad/datasets/xd_violence/videos/About.Time.2013__#00-23-50_00-24-31_label_A.mp4|0|0|
5|/home/mchiesa/agenticvad/datasets/xd_violence/videos/About.Time.2013__#00-30-50_00-32-31_label_A.mp4|0|1|The video shows a man in a judicial robe, likely a judge, in a courtroom setting. Initially, he appears calm and composed. However, in the later frames, he is seen making aggressive gestures, such as pointing and shouting, which could indicate a threatening or confrontational behavior. The presence of uniformed individuals suggests a formal legal proceeding. The man's sudden aggressive actions, especially in the context of a courtroom, could be considered anomalous and potentially dangerous.
6|/home/mchiesa/agenticvad/datasets/xd_violence/videos/About.Time.2013__#00-40-52_00-42-31_label_A.mp4|0|0|
7|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Bad.Boys.1995__#00-10-00_00-11-52_label_A.mp4|0|0|
8|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Bad.Boys.1995__#01-11-55_01-12-40_label_G-B2-B6.mp4|1|1|The video shows a person in a dark environment, possibly a construction site, with a sense of urgency or distress. In the second frame, a can is on the ground, suggesting a possible accident or disturbance. The third frame shows hands reaching through a net, indicating an attempt to escape or grab something. The fourth and fifth frames show a person in distress, possibly reacting to an event. The overall scene suggests a serious and unusual situation requiring immediate attention.
9|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Bad.Boys.1995__#01-33-51_01-34-37_label_B2-0-0.mp4|1|1|The video shows a sequence of frames depicting a tense and threatening situation. In the first two frames, a woman appears to be in a state of shock or fear, with a man behind her. The third frame shows the man looking concerned or surprised. The fourth frame shows a man in a dark room, seemingly in a defensive posture. The final two frames show the man holding a gun, with an aggressive expression. This sequence suggests a potential threat or confrontation, which could be considered an anomaly requiring immediate security response.
10|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Bad.Boys.II.2003__#00-06-42_00-10-00_label_B2-G-0.mp4|1|1|The video shows a group of individuals, some dressed in costumes resembling religious or ritualistic attire, confronting a police officer. The officer is holding a gun, and there is visible fire in the background. The situation appears to be tense and dangerous, with the presence of firearms and flames indicating a potential threat. The behavior of the individuals, including the officer, suggests an immediate security threat.
11|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Bad.Boys.II.2003__#01-11-16_01-14-00_label_A.mp4|0|1|The individual is seen removing a jacket, revealing a shirt underneath. The presence of red smoke in the foreground suggests an unusual or potentially dangerous situation. The actions appear deliberate and could be interpreted as threatening or dangerous behavior.
12|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Be.with.You.2018__#00-04-20_00-05-35_label_A.mp4|0|0|
13|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Be.with.You.2018__#00-16-18_00-18-09_label_A.mp4|0|1|The video shows a person with red-painted fingernails repeatedly reaching towards and touching a ceiling light fixture. In the later frames, a power drill is introduced, suggesting the person is attempting to either fix or damage the light fixture. This behavior is highly unusual and could indicate an intent to cause harm or commit vandalism, which is a clear security threat.
14|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Be.with.You.2018__#00-23-50_00-24-31_label_A.mp4|0|0|
15|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Be.with.You.2018__#01-14-30_01-16-59_label_A.mp4|0|1|The video shows a woman walking through a room, then interacting with a child. The environment is a domestic setting with personal items and decorations. The sequence progresses to show the woman standing over the child, who appears to be on the floor. This suggests a possible altercation or emergency situation, which could be considered anomalous based on the strict definition provided.
16|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Be.with.You.2018__#01-42-06_01-45-53_label_A.mp4|0|1|The video shows a person in a red uniform pouring a liquid from a container onto the head of another person lying on the ground. This action is highly unusual and dangerous, as it suggests an attempt to harm or incapacitate the person lying down. The presence of a red bag and the uniformed individual's actions indicate a potential security threat.
17|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Before.Sunrise.1995__#00-03-00_00-04-05_label_A.mp4|0|0|
18|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Before.Sunrise.1995__#00-04-20_00-05-35_label_A.mp4|0|0|
19|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Before.Sunrise.1995__#00-23-50_00-24-31_label_A.mp4|0|0|
20|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Before.Sunrise.1995__#00-40-52_00-42-01_label_A.mp4|0|0|
21|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Before.Sunrise.1995__#00-42-52_00-45-31_label_A.mp4|0|0|
22|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Before.Sunrise.1995__#01-36-45_01-38-10_label_A.mp4|0|0|
23|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Before.Sunset.2004__#00-23-50_00-24-31_label_A.mp4|0|0|
24|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Before.Sunset.2004__#01-14-30_01-16-51_label_A.mp4|0|0|
25|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Black.Hawk.Down.2001__#00-06-44_00-07-39_label_A.mp4|0|1|The individual in the video is holding a gun and pointing it towards another person standing across the table. This action is unusual and suggests a potential threat or confrontation. The setting appears to be a confined space, possibly a prison or detention center, which adds to the seriousness of the situation. The individual's posture and the presence of the gun indicate a possible attempt to assert dominance or control, which could be considered a serious anomaly requiring immediate attention.
26|/home/mchiesa/agenticvad/datasets/xd_violence/videos/Black.Hawk.Down.2001__#01-13-59_01-14-49_label_B2-0-0.mp4|1|1|The video frames depict a person in a hooded garment, likely inside a vehicle, with a serious and focused expression. The sequence shows minimal movement, suggesting a tense or contemplative moment rather than an immediate threat. There is no clear evidence of physical violence, explosions, or other dangerous activities.
