subset|auc|average_precision|tn|fp|fn|tp|accuracy|precision|recall|f1_score
overall|0.740|0.7153732966540848|145|5|68|72|0.7482758620689656|0.935064935064935|0.5142857142857142|0.663594470046083
Abuse|nan|1.0|0|0|2|0|0.0|0.0|0.0|0.0
Arrest|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Arson|nan|1.0|0|0|3|6|0.6666666666666666|1.0|0.6666666666666666|0.8
Assault|nan|1.0|0|0|2|1|0.3333333333333333|1.0|0.3333333333333333|0.5
Burglary|nan|1.0|0|0|9|4|0.3076923076923077|1.0|0.3076923076923077|0.47058823529411764
Explosion|nan|1.0|0|0|4|17|0.8095238095238095|1.0|0.8095238095238095|0.8947368421052632
Fighting|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Normal_Videos|nan|0.0|145|5|0|0|0.9666666666666667|0.0|0.0|0.0
RoadAccidents|nan|1.0|0|0|10|13|0.5652173913043478|1.0|0.5652173913043478|0.7222222222222222
Robbery|nan|1.0|0|0|3|2|0.4|1.0|0.4|0.5714285714285714
Shooting|nan|1.0|0|0|10|13|0.5652173913043478|1.0|0.5652173913043478|0.7222222222222222
Shoplifting|nan|1.0|0|0|19|2|0.09523809523809523|1.0|0.09523809523809523|0.17391304347826086
Stealing|nan|1.0|0|0|3|2|0.4|1.0|0.4|0.5714285714285714
Vandalism|nan|1.0|0|0|3|2|0.4|1.0|0.4|0.5714285714285714
