subset|auc|average_precision|tn|fp|fn|tp|accuracy|precision|recall|f1_score
overall|0.777|0.6978940060171257|113|37|28|112|0.7758620689655172|0.7516778523489933|0.8|0.7750865051903114
Abuse|nan|1.0|0|0|1|1|0.5|1.0|0.5|0.6666666666666666
Arrest|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Arson|nan|1.0|0|0|1|8|0.8888888888888888|1.0|0.8888888888888888|0.9411764705882353
Assault|nan|1.0|0|0|0|3|1.0|1.0|1.0|1.0
Burglary|nan|1.0|0|0|6|7|0.5384615384615384|1.0|0.5384615384615384|0.7
Explosion|nan|1.0|0|0|1|20|0.9523809523809523|1.0|0.9523809523809523|0.975609756097561
Fighting|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Normal_Videos|nan|0.0|113|37|0|0|0.7533333333333333|0.0|0.0|0.0
RoadAccidents|nan|1.0|0|0|4|19|0.8260869565217391|1.0|0.8260869565217391|0.9047619047619048
Robbery|nan|1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
Shooting|nan|1.0|0|0|2|21|0.9130434782608695|1.0|0.9130434782608695|0.9545454545454546
Shoplifting|nan|1.0|0|0|11|10|0.47619047619047616|1.0|0.47619047619047616|0.6451612903225806
Stealing|nan|1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
Vandalism|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
