id|video_path|ground_true|label_prediction|description
0|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Abuse028_x264.mp4|1|0|
1|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Abuse030_x264.mp4|1|0|
2|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest001_x264.mp4|1|0|
3|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest007_x264.mp4|1|1|The person's hurried movement towards the door suggests urgency or fear, which could indicate a security threat. However, without additional context or evidence of violence, it is not definitively clear that the situation is dangerous.
4|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest024_x264.mp4|1|1|The presence of individuals in tactical gear and the open doors of the van suggest a high level of concern. The individuals' positioning and the fact that they are on the sidewalk, potentially engaging with the van, indicate that this is not a normal situation.
5|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest030_x264.mp4|1|1|The standing individual's defensive posture and the prone position of the other person suggest a potential threat or danger. The standing individual appears to be reacting to a perceived threat, and the prone position of the other person could indicate they have been attacked or are in distress.
6|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest039_x264.mp4|1|1|The person is exhibiting behavior that suggests a potential security threat, possibly due to the urgency in their movement and the object they are holding.
7|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson007_x264.mp4|1|0|
8|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson009_x264.mp4|1|1|The individual's cautious and deliberate movements towards the van, combined with the potential weapon or tool in their hand, suggest a high likelihood of a dangerous situation. The hooded jacket adds to the anonymity and potential threat.
9|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson010_x264.mp4|1|1|The person running away from the van could indicate a potential threat or danger. The presence of a second person observing the situation suggests that the event is being monitored or is of interest.
10|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson011_x264.mp4|1|1|The person in the elevator is holding a weapon, and the individual in the foreground is pointing a camera or device at them, indicating a serious and dangerous situation.
11|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson016_x264.mp4|1|1|The person's posture and grip on the seat suggest a potential emergency situation that requires immediate attention.
12|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson018_x264.mp4|1|1|The vehicle is kicking up a significant amount of smoke or dust, which is not typical for normal driving and suggests a possible accident or dangerous situation.
13|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson022_x264.mp4|1|0|
14|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson035_x264.mp4|1|1|A vehicle is driving past parked cars at a high speed, which could be a dangerous situation.
15|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson041_x264.mp4|1|1|The individual entering the building alone and quickly, wearing a hooded sweatshirt, and carrying something in their hands, suggests a potential security threat.
16|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Assault006_x264.mp4|1|1|The person is riding a scooter or motorcycle indoors at a high speed, which is not a typical or safe behavior and poses a potential safety hazard.
17|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Assault010_x264.mp4|1|1|Inmate lying on bed in distress, potentially indicating a medical emergency or self-harm risk.
18|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Assault011_x264.mp4|1|1|One person is running towards a group of people near a motorcycle parking area, which could be interpreted as a potential threat or dangerous behavior.
19|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary005_x264.mp4|1|1|The individual holding what appears to be a weapon is walking towards the building, which could be an immediate security threat.
20|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary017_x264.mp4|1|1|The person lying on the desk in a state of distress or unconsciousness is an anomaly as it is not a normal occurrence in a hotel room setting.
21|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary018_x264.mp4|1|1|The person is wearing a mask and carrying a bag, which could indicate potential threatening or dangerous behavior.
22|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary021_x264.mp4|1|0|
23|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary024_x264.mp4|1|1|The person is in a compromising position at the desk, exposing their upper body, which is considered inappropriate behavior and a breach of workplace conduct.
24|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary032_x264.mp4|1|1|The person in a white outfit is moving quickly through the office space, which is unusual and could indicate a potential security threat or dangerous behavior.
25|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary033_x264.mp4|1|0|
26|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary035_x264.mp4|1|1|The individual is holding a weapon-like object and appears to be in a threatening position, indicating a high risk of imminent danger.
27|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary037_x264.mp4|1|1|The presence of a person in a suit in a medical setting is unusual and could indicate a security threat or an emergency situation.
28|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary061_x264.mp4|1|1|The individual is leaning over the counter in an unusual manner, which is not typical for a routine transaction or interaction in this setting. This behavior could indicate a potential threat or suspicious activity.
29|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary076_x264.mp4|1|1|A person is running away from a parked car, which could indicate a potential threat or dangerous situation.
30|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary079_x264.mp4|1|1|The person is bending over near a parked car, possibly attempting to steal something, which is an immediate security threat.
31|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary092_x264.mp4|1|0|
32|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion002_x264.mp4|1|1|The person is touching the car while using the phone, which is a dangerous behavior that could lead to accidents or other unsafe situations.
33|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion004_x264.mp4|1|1|The frames show a fire scene with smoke and flames, indicating a serious safety threat.
34|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion007_x264.mp4|1|1|The vehicle appears to be in motion with significant smoke or dust, suggesting a possible accident or dangerous driving situation.
35|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion008_x264.mp4|1|1|The final frame shows a large explosion with thick smoke, indicating an immediate and serious threat.
36|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion010_x264.mp4|1|1|The presence of dense smoke in a forested area is highly unusual and dangerous, indicating a serious incident such as a forest fire or explosion.
37|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion011_x264.mp4|1|1|Smoke coming out of the rear of a bus indicates a potential fire or explosion, posing an immediate security threat.
38|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion013_x264.mp4|1|1|The presence of a fire poses an immediate security threat. The person is not in immediate danger but is moving towards the fire.
39|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion016_x264.mp4|1|1|Smoke coming from the top of the building indicates a potential fire or explosion, which is an immediate security threat.
40|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion017_x264.mp4|1|1|Fire in a gas station area with multiple individuals present, some attempting to extinguish the fire, indicating an immediate and serious security threat.
41|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion020_x264.mp4|1|1|The presence of a sparkler or flammable object near a parked car poses a potential fire hazard. The situation is tense, with people gathered around the car, but it does not immediately require an alarm due to the lack of physical violence or severe danger.
42|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion021_x264.mp4|1|1|A large fire erupts from one of the fuel pumps, posing an immediate security threat.
43|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion022_x264.mp4|1|1|The open door in the room is an anomaly as it is not a normal state for this type of room, which usually requires doors to be closed for security and safety reasons.
44|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion025_x264.mp4|1|1|The presence of smoke or dark cloud indicates a potential fire or dangerous event, which is a clear security threat.
45|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion027_x264.mp4|1|0|
46|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion028_x264.mp4|1|0|
47|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion029_x264.mp4|1|1|The fire near the car at the gas station is a serious safety hazard and poses an immediate threat. The fire could lead to an explosion or further danger if not addressed promptly.
48|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion033_x264.mp4|1|1|The frames show a large, bright orange and yellow area that appears to be a fire or explosion, with smoke and possibly flames. The intensity of the light and the color suggest a significant and immediate danger.
49|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion035_x264.mp4|1|1|The footage shows a chaotic scene with papers flying and individuals in apparent distress, indicating a serious and dangerous situation.
50|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion036_x264.mp4|1|1|The person on the ground appears to be in distress or possibly injured, which is a clear and serious anomaly based on the strict definition provided.
51|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion039_x264.mp4|1|0|
52|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Explosion043_x264.mp4|1|1|The central figure's aggressive posture and the attention of surrounding individuals indicate an immediate security threat.
53|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Fighting003_x264.mp4|1|1|A person is holding a weapon pointed at another individual, indicating a serious and immediate security threat.
54|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Fighting018_x264.mp4|1|1|The person lying on the ground suggests a potential injury or dangerous situation, warranting immediate security response.
