subset|auc|average_precision|tn|fp|fn|tp|accuracy|precision|recall|f1_score
overall|0.813|0.7458270864567716|124|26|28|112|0.8137931034482758|0.8115942028985508|0.8|0.8057553956834532
Abuse|nan|1.0|0|0|2|0|0.0|0.0|0.0|0.0
Arrest|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Arson|nan|1.0|0|0|2|7|0.7777777777777778|1.0|0.7777777777777778|0.875
Assault|nan|1.0|0|0|0|3|1.0|1.0|1.0|1.0
Burglary|nan|1.0|0|0|5|8|0.6153846153846154|1.0|0.6153846153846154|0.7619047619047619
Explosion|nan|1.0|0|0|1|20|0.9523809523809523|1.0|0.9523809523809523|0.975609756097561
Fighting|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Normal_Videos|nan|0.0|124|26|0|0|0.8266666666666667|0.0|0.0|0.0
RoadAccidents|nan|1.0|0|0|7|16|0.6956521739130435|1.0|0.6956521739130435|0.8205128205128205
Robbery|nan|1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
Shooting|nan|1.0|0|0|1|22|0.9565217391304348|1.0|0.9565217391304348|0.9777777777777777
Shoplifting|nan|1.0|0|0|7|14|0.6666666666666666|1.0|0.6666666666666666|0.8
Stealing|nan|1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
Vandalism|nan|1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
