subset|auc|average_precision|tn|fp|fn|tp|accuracy|precision|recall|f1_score
overall|0.742|0.6459188724161501|77|73|4|136|0.7344827586206897|0.6507177033492823|0.9714285714285714|0.7793696275071633
Abuse|nan|1.0|0|0|0|2|1.0|1.0|1.0|1.0
Arrest|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Arson|nan|1.0|0|0|0|9|1.0|1.0|1.0|1.0
Assault|nan|1.0|0|0|0|3|1.0|1.0|1.0|1.0
Burglary|nan|1.0|0|0|0|13|1.0|1.0|1.0|1.0
Explosion|nan|1.0|0|0|0|21|1.0|1.0|1.0|1.0
Fighting|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Normal_Videos|nan|0.0|77|73|0|0|0.5133333333333333|0.0|0.0|0.0
RoadAccidents|nan|1.0|0|0|2|21|0.9130434782608695|1.0|0.9130434782608695|0.9545454545454546
Robbery|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Shooting|nan|1.0|0|0|1|22|0.9565217391304348|1.0|0.9565217391304348|0.9777777777777777
Shoplifting|nan|1.0|0|0|1|20|0.9523809523809523|1.0|0.9523809523809523|0.975609756097561
Stealing|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Vandalism|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
