subset|auc|average_precision|tn|fp|fn|tp|accuracy|precision|recall|f1_score
overall|0.805|0.7249944382647385|114|36|21|119|0.803448275862069|0.7677419354838709|0.85|0.8067796610169492
Abuse||1.0|0|0|1|1|0.5|1.0|0.5|0.6666666666666666
Arrest||1.0|0|0|0|5|1.0|1.0|1.0|1.0
Arson||1.0|0|0|0|9|1.0|1.0|1.0|1.0
Assault||1.0|0|0|0|3|1.0|1.0|1.0|1.0
Burglary||1.0|0|0|2|11|0.8461538461538461|1.0|0.8461538461538461|0.9166666666666666
Explosion||1.0|0|0|1|20|0.9523809523809523|1.0|0.9523809523809523|0.975609756097561
Fighting||1.0|0|0|0|5|1.0|1.0|1.0|1.0
Normal_Videos|||114|36|0|0|0.76|0.0|0|0.0
RoadAccidents||1.0|0|0|6|17|0.7391304347826086|1.0|0.7391304347826086|0.85
Robbery||1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
Shooting||1.0|0|0|2|21|0.9130434782608695|1.0|0.9130434782608695|0.9545454545454546
Shoplifting||1.0|0|0|6|15|0.7142857142857143|1.0|0.7142857142857143|0.8333333333333334
Stealing||1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
Vandalism||1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
