subset|auc|average_precision|tn|fp|fn|tp|accuracy|precision|recall|f1_score
overall|0.832|0.788062536528346|137|13|35|105|0.8344827586206897|0.8898305084745762|0.75|0.813953488372093
Abuse|nan|1.0|0|0|1|1|0.5|1.0|0.5|0.6666666666666666
Arrest|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Arson|nan|1.0|0|0|2|7|0.7777777777777778|1.0|0.7777777777777778|0.875
Assault|nan|1.0|0|0|0|3|1.0|1.0|1.0|1.0
Burglary|nan|1.0|0|0|4|9|0.6923076923076923|1.0|0.6923076923076923|0.8181818181818182
Explosion|nan|1.0|0|0|1|20|0.9523809523809523|1.0|0.9523809523809523|0.975609756097561
Fighting|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Normal_Videos|nan|0.0|137|13|0|0|0.9133333333333333|0.0|0.0|0.0
RoadAccidents|nan|1.0|0|0|6|17|0.7391304347826086|1.0|0.7391304347826086|0.85
Robbery|nan|1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
Shooting|nan|1.0|0|0|1|22|0.9565217391304348|1.0|0.9565217391304348|0.9777777777777777
Shoplifting|nan|1.0|0|0|16|5|0.23809523809523808|1.0|0.23809523809523808|0.38461538461538464
Stealing|nan|1.0|0|0|2|3|0.6|1.0|0.6|0.75
Vandalism|nan|1.0|0|0|1|4|0.8|1.0|0.8|0.8888888888888888
